top,bookname,collection,info,label,type
77,太古龙帝诀,599041,待到乾坤逆乱时，以我龙血染青天！落魄支脉少年，融合了一团从天而降的金色神火，得盖世传承《太古龙帝诀》，从边缘之地，强势崛起，冲入茫茫武道大世，修炼奇功，掠夺传承，吞噬天下，踏累累尸骨，登临至尊神位！这里有风华绝代的帝王，与天搏命的巨兽，万载不死的强者，还有数之不尽的古老宗门、大教、圣地，神魔鬼妖，万千生灵……光怪陆离，激情无限，带你一步步踏入那恢弘的玄奇世界！,励志、医生、强者回归、龙,[玄幻]
78,九龙玄帝,598940,新书已发《我为一世魔主》，求诸位支持。“师父，长大了，我要娶你。”“嗯？”“我要每天陪师父说话，不让师父一个人。”“师徒，怎可相爱。”“我不管，我就要娶师父。”长大了，他似忘了对白洛水的誓言，为了‘姐姐’瑶止，踏宫抢亲，鏖战八方。可血战之中，救他的是师，害他的却是瑶止。十年后，铁血再归，凭谁问，卷土不能重来！？金戈铁马，踏九霄，万里江山，除瑶名！这一世称帝，我只为你这不该辜负之人！————通俗版：真圣强者重生归来，与一九首妖龙携手，碾压一切，再踏巅峰的故事。,热血、洪荒流、龙,[玄幻]
79,灭仙神尊,594614,天地本源之火有九种形态，赤，橙，黄，绿，青，蓝，紫，黑，白。紫焰成神，黑焰灭世，白焰创生。杨逍第一世，乃紫焰成神的天生火神，站在众神之巅，却因顽石所化的肉身，无法更进一步，成为主宰，无奈自斩，投身人族。第二世，人族至尊，天生道体，却为人所算计，最终，虽集天下灵药之大成，化为人族药祖，炼出绝世神丹，也逃不过，自爆神格的下场。如今，百万年之后，昔年好友，师尊，道侣，皆不知所踪，却在凡俗小地，强者归来！“这一世，我定要踏上那主宰之境，算计我的，背叛我的，玩弄我的，皆要死！”,热血、强者回归,[玄幻]
80,魂帝武神,592717,形意拳宗师萧逸魂穿异界。在这个武者横行的世界，萧逸得逆天武魂，开启了一段碾压当世无数天才，成就魂帝武神的强者之路。粉碎天地，打破苍穹，凌驾诸天万界。（书友群 379030553）,热血、杀手、无敌文,[玄幻]
81,万古最强宗,586992,【【网文之王玄幻“BOSS流”征文】参赛作品】这是一个宗门养成的故事，这是一个温馨欢乐的家。里面不仅有逗比的宗主，也有一群性格迥异的古怪弟子初成长。来吧，骚年。加入我的宗门，一起放飞梦想！咨询1裙：702705427咨询2裙：724749009,轻松、系统流、位面,[玄幻]
1,天下剑宗,620954,【【武侠•无双征文活动】参赛作品】剑宗少年李奇锋，在一次机缘之下，修为一飞冲天，震惊剑宗，修炼最强，最霸道的武决，手掌天下第一名剑，一剑在手，举世无双，杀该杀之人，做该做之事，纵横江湖，红颜相随，乐在逍遥，终成为剑道王者。主要的事情：新的小说【我于人间无敌】，欢迎各位移步，新的开始，新的精彩。,热血、杀手、无敌文、阵法,[武侠]
2,凌天剑神,472597,【“武侠·古武未来征文”参赛作品】（QQ阅读一组作品）武林第一天才凌尘，因宗门遭逢大变而修为尽废，武功全失。在命悬一线之际，凌尘偶得武林神功《凌天剑经》，废脉重修，从此通剑道，凝剑心，悟剑意，终成一代剑神！已有长篇完本作品《剑之帝皇》、《天界至尊》，人品有保证！本书书友群：368076179,热血、宗门、杀伐果断、天才流,[武侠]
3,武侠神功系统,261877,地球少年穿越而来，手握神功系统，纵横异世武侠，铸造不朽神话。当北神玄功和朱雀焚天功碰撞，当金刚不陨神功和不灭混元体对轰。当大龙象神功和神力显慧经相遇，当神脉剑决和大灭绝剑气抗衡。……如此种种，将会是一个怎样的结局？普通群:451354340  VIP群：324645240,热血、宅男、重生,[武侠]
4,无敌至尊太子爷,196376,【【阅文·中国武侠·侠之精神征文大赛】参赛作品】我为太子，镇压一切敌，横推人间八千里！我为帝王，有我无敌，三界称至尊！走过轮回，趟过时间长河，与神魔论道，与道祖争锋。天地有我，谁敢高高在上？我叫沈苍生，俯瞰苍生！        新书《我！运朝之主，创立万古仙国》已经发布！,热血、豪门、无敌文、玄学,[武侠]
5,我有一座山寨,156435,开局一座山寨，两个人口（军师，马夫），将要打造最强山寨。他穿越到乱世，拥有一座马上要散伙的山寨。面对这杀戮乱世，是打算抢钱抢粮抢婆娘做一个逍遥山大王，还是泼出这身男儿血，交锋世上英雄，搏一个名震古今，问一声：王侯将相，宁有种乎！,爆笑、学生、系统流、赚钱,[武侠]
6,江湖奇功录,153165,【【域外扬威】参赛作品】江湖奇功无数，历经时代变迁，如今中原武林存有九大奇功。隐秘势力蛰伏已久，蠢蠢欲动。曾经失传的奇功纷纷现世。主角林夕麒机缘巧合之下得到当今九大奇功之一《冥冰真经》残卷。,暂无,[武侠]
7,横扫万界之最强,152041,【【域外扬威】参赛作品】起初，这里是一个骑兵为王的世界，好在冷炎带了一个骑兵召唤系统，里面上有有陈庆之的白马骑、曹操的虎豹骑、李广的大汉铁骑，李世民的玄甲军，下有袁崇焕的关宁铁骑、戚家军、大明重师......他开疆扩土，自立为王，直到后来他才发现，骑兵只是实力的一部分，这里还有无上的绝世人物，然而最令他震惊的是，所有的一切竟是为了一场天地大祭......,铁血、豪门、争霸流、宠物,[武侠]
8,诸天武道从武当开始,107365,这是一个现代职业道士，穿越古代武当山下，一个农家小子，本来只是想，凭着肚子里对道经的熟悉，上山当个道士，好过地里刨食，谁知听到自己的道号是自己记忆中的那个名字后，他就知道他这一生，不能只读道经了。然后，他便开始了传奇的第二世，第三世，第四世……（本书无限流）书友群：551845914，可以来聊聊天,暂无,[武侠]
9,武侠之超级打脸系统,92703,【【武侠•无双征文活动】参赛作品】系统在手，天下我有，农民小子‘叶修文’穿越，竟然碰上了江湖吊炸天的超级装逼打脸系统。至此以后，老子是脚下迷踪，双拳如龙，我是左手‘形意拳’，右手‘屠龙剑’，身后背着‘八级贴身靠’，老子是靠墙墙倒，靠山山坍，一直靠！靠！靠！……十二岁的‘梦如’妹子，妖娆道：哥哥？你敢靠我吗？三年起步，最高可是死刑哟？……【2016超级火爆爽文】Q群：463386207,恶搞、学生、穿越、位面,[武侠]
10,我和圣女有个约定,63937,十二年前，一个小男孩救了一个小女孩，十二年后小女孩成了武林第一门派的圣女，名动江湖。  多少江湖青年俊才想要一睹圣女仙容，可都一一遭到拒绝，圣女只说了一句话，我哥哥不同意。  新书，请多多支持。（粉丝群：825503492）,勇猛、练功流,[武侠]
11,血蓑衣,54699,一纸招安令，神秘孤儿化身金牌卧底，人前是江湖浪子，人后是朝廷密探。庙堂重臣、武林豪杰、隐世高手、外族恶人、异教魔头、富贾巨商、绿林好汉……皆在名、利、权、欲中相爱相杀，纠缠不清。伪装、谎言、阴谋、野心……柳寻衣在生与死、黑与白之间临渊而行，上演江湖“无间道”。江湖风雨漫天下，天下风雨尽江湖。蓑衣掩掩避风雨，风雨潇潇血蓑衣！,热血、杀手、争霸流,[武侠]
12,重生之独步江湖,51692,这是一个武道至上的世界，有那么一群人，他们追逐长生久视。“我叫方休，至死方休！”“在这个世界里，我要活的比谁都长久！”【v群（全订群）：1105669567】 新书《人族镇守使》，求支持！,坚毅、杀手、系统流、位面,[武侠]
13,赘婿之无敌高手,48175,【【阅文·中国武侠·侠之精神征文大赛】参赛作品】一代剑道宗师，重生在赘婿身上。江南第一美的妻子，成亲一年不让碰。混吃等死一辈子，一不小心就出了名，总有强敌要杀我，也总有美人送上门。做人难，做名震天下的名人更难！既然实力不许我低调，那就称霸江湖当大侠,赘婿流、杀伐果断、群像,[武侠]
14,剑动江湖,47719,【【武侠百万大征文】参赛作品】一本武学秘籍残卷，导致隐秘山林的村庄，一夜之间被昆仑派屠戮一空。少年逃亡途中为杏林人士所救，学艺有成之后毅然下山，踏上寻亲之路，誓要报这血海深仇。      奈何昆仑势大唐门式微，外公不愿协助自己走上复仇之路。少年毅然投身官场，识岳飞，结世宗，共济抗金大业。      造化无常世事弄人，岳飞被害，少年因劫狱被诬谋反，丧失爱人。      从此之后，少年便孤身一人遁入江湖，踏上覆灭昆仑的道路。 ``...,淡定、医生、系统流,[武侠]
15,重生诸天的寻道者,46202,【【阅文·中国武侠·侠之精神征文大赛】参赛作品】曾于武当山十载，寻得道之根基也曾于汉水河畔，受周公托孤襄阳城外，明悟剑道五境，终究以内力为先然而武之达者，不过百载岁月。一人之下，初闻其道。三生三世，怒斩帝君。白蛇传说，分得善恶。洪荒封神一役，证道混元。寻道，寻那念头通达之道。群694708042,重生、穿越、侠客、冷静、快节奏、热血、练功,[武侠]
16,诸天位面逍遥录,42239,穿行诸天，无欲则刚。不拘束缚，任性而为。一切只随本心行事，大侠若是看不惯……你来打我呀～【笑傲、天龙、大唐、神雕、破碎、蜀山、诛仙……】,穿越、侠客、腹黑、轻松,[武侠]
17,都督,41233,一个习武天才，获毒王传承，修至高无上神功，一朝神功大乘，组建天龙卫。未央宫里，伊人美姬暗夜留香；玉女峰上，儿女情长英雄壮歌；九星殿前，一缕温柔盟海誓；天魔圣女，朝廷千金，爱恨情仇，江湖不平。三千年的恩怨，到底如何解决，这是天龙卫都督的传奇人生。,坚毅、孤儿、练功流、赚钱,[武侠]
18,最强穿梭万界系统,38097,一觉醒来，林凡穿越到了鹿鼎记世界，得万界穿梭系统，开始了他的成神之路.........,强者流、热血、智商在线、杀伐果断、重生、思想迪化、无限流,[武侠]
19,太清剑,33253,一代剑仙江湖行。一次盗墓奇遇，造就一代剑仙。从此上官惊鸿仗技走天下，江湖任我行……本书主角无敌，虽然采用宋代年号，以宋朝作为故事背景，但内容涉及诗词、语言与历史顺序全不相干。人物名字如有雷同，纯属巧合。小说交流群：234556212,坚毅、盗贼、无敌文、盗墓,[武侠]
20,这是江湖,32876,江湖百晓生荣国老批言：“秋水剑法无人敌，天下第一在江南！”批言尚未应验，荣国老已被人一剑封喉一句批言，两封牛皮信，秋水剑法悄然入世，江南刘家强势崛起！在这后头，到底是谁在操纵？一百八十年前，江湖中“一代天骄”莫名手中问天剑闻名天下，莫名剑法天下无双；一百八十年后，问天剑悄悄重现江湖。一个少年，一柄问天剑，把一堆隐退高手统统引了出来一个沉寂已久江湖，或许就这样热闹了起来故事是这样的，一个大山里的淳朴少年因为一柄家传的破剑走上了闯荡江湖的不归路。,热血,[武侠]
21,剑神重生带系统,32403,【【武侠•无双征文活动】参赛作品】剑神 + 系统 = ？剑神重生，竟然还附带一个系统，这还让其他人怎么活？天绝剑神李天叶千年后重生归来，成为天元王朝九皇子。重生之后，李天叶的脑海中多了一个英雄系统。 “顺我者生，逆我者死，想杀谁就杀谁，我的话就是真理，因为我是李天叶。”,暂无,[武侠]
22,武侠BOSS之路,24668,武侠的世界，没有纵意江湖，只有冰冷的算计和武力为尊的原则。清羽穿越到此世，步步为营，依托着过人的心计和武力，向着巅峰行进。【书友群：532851330 加群一起水】,腹黑、系统流,[武侠]
23,诸天反穿越聊天群,23726,偶然间进入一个反穿越聊天群。这里有诸天位面的本体。他们哭着喊着要我帮忙。听说你是穿越者？抱歉！我专门反穿越。听说你有系统？来来来，让我看看你的系统到底长什么样。“收到来自水浒传的红包。”“收到来自一人之下的红包。”“收到来自狐妖小红娘的红包。”,无限流、位面,[武侠]
24,武侠之这个男人有点坏,22142,【【阅文·中国武侠·侠之精神征文大赛】参赛作品】当一个叫不凡的男人可以随意穿梭各个武侠世界时，他只想说一句“走主角的路，带主角的光环，泡主角的...”,学生、无限流,[武侠]
25,剑神客栈,21750,王元穿越到了武侠世界。被剑神客栈绑架成了掌柜的。无边大漠，风沙漫天。据说风沙之下有无尽的财宝，寻宝而来的人，都会到剑神客栈来。因为只有在这里他们才能安心的睡觉。剑神客栈之内禁止动武，违反规定的人都会被剑神客栈惩罚乃至杀死。随着剑神客栈不断的升级，它又多了许多新的功能。渐渐的剑神客栈成了一个传奇，也成了新的武林圣地。新书《三国之小军师》已经上线，欢迎大家围观阅读！谢谢,勇猛、宅男、练功流、赚钱,[武侠]
26,我快要无敌了,20773,【【“侠之世界—朝堂与江湖”主题征文大赛】参赛作品】道门内力第一精纯的《纯阳童子功》，加上佛门第一炼体功法《龙象般若神功》……我说我快要无敌了，你有意见?（书友群：872368013）,机智、孤儿、无敌文、位面,[武侠]
27,夺命枪,19648,黑暗来袭，阴云渐起，一场波及了无数世界的动荡即将来临。背负着枷锁的少年在混乱间沉沦，自破碎中崛起，一路高歌猛进，直冲天际。,冷酷、孤儿、练功流,[武侠]
28,始于魔剑生死棋,18747,魔剑之中，与众强争锋，步履蹒跚之际，登顶至尊...秦时之中，融儒家之义、道家之要、法家之本，与百家诸子争鸣，铸天子之剑，立诸夏一亦之万世基也...风云之中，于岁月滔滔之际，单手败雄霸、技压武无敌、挥袖退徐福、刀斩笑三笑...神兵之中......踏着皑皑白骨，万玄亦背负双手而立，徐徐叹曰：“诸界寰宇之内，可有抗手？”————书友群：984191612,暂无,[武侠]
29,剑洗江湖,18725,【【武侠•无双征文活动】参赛作品】现代生物学博士于飞，无意中进入了武侠的世界，成为洗剑山庄的一名杂役，养花种树培植药草，提取各种营养液补充内力，一技在手，天下我有！,机智、练功流、丹药,[武侠]
30,重生之祸害江湖,18513,大兴皇朝，以武为尊。现代苦逼男杨林穿越到此方世界，附身在一个同名同姓的公子哥身上，而且还是个有权有势的武二代。穿越一回，苦逼的杨林原本以为自己能够过上梦寐以求的生活，可是事情却并非那么回事？父亲被杀，部下反叛，各路凶猛如狼的仇家不断的杀上门来，这都让杨林这个穿越新丁惊恐万分，为了保住自己的小命，于是杨林不得不奋起反抗，杀出一条生路来……恩！简单来说呢，这是一个卑鄙小人闯荡江湖的故事。,冷酷、杀手,[武侠]
31,证剑诸天,18099,武功如道法，练武就是修道，武学最后追求的就是求道。随着武功越高，陆寻发现“道”就在眼前。思过崖顶，他是林平之。襄阳城外，他是尹志平。我即是我，历万劫成剑仙。,淡定、孤儿、无限流、位面,[武侠]
32,诸天逍遥,17650,我本逍遥仙，何故恋凡间？       孤独的灵魂在三千世界游荡，只为那最后的超脱，找寻真的逍遥，倚天、天龙、风云、仙剑、蜀山、西游、封神……逍遥诸天任我游,诸天流、侠客、谋略、武道,[武侠]
33,武侠之绝世魔头,17294,【【武侠百万大征文】参赛作品】重生前世熟悉的游戏武侠世界，武道昌盛，江湖横行，强者决战紫荆之巅，无视皇家威严；豪强争抢底盘，肆意打斗，不顾人命；门派林立，敛财圈地，聚拢武者为己卖命。所谓江湖门派，实则不遵法纪，不敬朝廷，以武犯禁。主角重生普通武者，加入朝廷，带最强武道系统踏上武道巅峰。诸多武道，唯我无敌。剑神不敢在我面前拔剑，刀圣不敢在我面前出刀。以手中刀，杀遍武林，使江湖臣服，强者俯首。一刀出，天下禁武，无人敢言。一刀出，号令武者，莫敢不从。,热血、练功流,[武侠]
34,余楚,17157,【【武侠•无双征文活动】参赛作品】这个江湖，有白衣剑仙一剑断生死。有个老和尚低头是菩萨，抬头便成佛。更有白发男子沙场秋点兵，踏着尸山血海看白骨！关于叶如晦，世间所有史书所记载的开头都只有一句话:这个少年在某一天走出了洛城。世人说大楚将灭，叶如晦不同意！世间万物皆可亡，唯我大楚存世间！新书发布，起点中文网《人间最得意》,热血、感情,[武侠]
35,全职赘婿,16748,穿越异世，携婚书登门，惨被拒婚。陈朝感叹：真是拒婚年年有，今年特别多啊！新书《我家宗主是赘婿》已经上传，大家可以移步观看！,腹黑、无敌文、赚钱,[武侠]
36,满级大号闯江湖,15956,前一刻还在游戏中被全服追杀，后一刻就穿越了，难道是我在游戏中杀戮过重？老天爷惩罚我？不要啊！放我回家啊!系统：由于玩家杀戮过重现开启大侠系统。,阳光、系统流、赚钱,[武侠]
37,无限武道传,15067,江湖血、天下命、身中魂、肩上刀！    萧沙意外来到一个陌生而熟悉的世界，熟悉的武功、不同的人物，还有更加神秘莫测的武神空间，一切都超出意料之外。    未及准备，一切都已如历史巨轮滚滚前行，从此江湖、天下、无尽空间、传说四起！    北冥神功的极致、长生决的终点、霹雳金光武学乱入……    听过的、没听过的，纷纷化作切身体会的天下江湖！,热血、孤儿、无限流,[武侠]
38,我在武侠大陆捡属性,14256,酷爱武侠的杨浩明，穿越到了一片以武为尊的世界！绑定了一个莫名其妙的系统！   与人交手，百分百随机掉落一门武学残章！  “请跟我交手！”  “别走....再走，我就只能杀了你！”  【叮，与魔教教主交手，掉落‘葵花宝典’残章！是否修炼？要修炼，必先自宫......】  【叮，与扫地僧交手，掉落‘易筋经’残章！是否修炼？需要看破无我、无相..】,热血、杀手、穿越、位面,[武侠]
39,一剑苍穹,14138,【【武侠•无双征文活动】参赛作品】一剑纵横，九剑封仙。九剑重现江湖，引发各方争斗，普通少年横空出世，单人只剑，将江湖掀了个底朝天残阳照，百花凋，一剑西去，哪管东流水！,热血,[武侠]
40,无敌魔剑,12725,【【武侠•无双征文活动】参赛作品】江湖纷纷，强者争霸，正魔厮杀未休，一名少年从微弱崛起，以魔剑之名，为红颜，为知己，剑扫武林，激荡一个时代。,热血、孤儿、废柴流,[武侠]
41,赤火邪尊,12682,【【武侠百万大征文】参赛作品】意外穿越，凌易发现自己竟然来到以武为尊的异世大陆，在这里有江湖有武林，更有人人敬仰的武林至尊！重生异世，凌易面临被逐出门派之危，幸得神秘赤火，炼就一双赤火邪瞳，助他在这异世站稳武道之林。武林纷争江湖大乱，凌易单枪匹马行走正邪两道，快意江湖只问本心，一生行事只无悔二字足矣。世人却皆言他邪，邪又如何，世有武林至尊，凭这赤火邪瞳，他便要凌驾其上，成为——赤火邪尊！,铁血、孤儿、练功流、位面,[武侠]
42,武侠世界里的强盗,12643,重生到了一个神话般的三国时代，这里武力强盛至极，绝世武将一剑可断山河，顶级谋士挥手间就能改变气象，呼风唤雨……           萧云重生在这样一个高武世界中，面对着即将到来的诸侯争霸，即使熟悉历史走向，他依然感觉亚历山大呀！还好他有一个金手指可以带他穿越诸天万界，让他掠夺各种资源来提升实力。            书剑世界，他掠夺闯王宝藏，援助霍青铜抵御清朝入侵，阻止了香香公主的香消玉损；         神雕世界，他得到了龙象般若功和九阴九阳，阻挡了小龙女和杨过的种种悲剧，改变了南宋的灭亡；         ...,暂无,[武侠]
43,从一棵树开始的进化,11772,【【“脑洞大开”征文大奖赛】参赛作品】〔最大脑洞，暴热爽文〕穿越成了门前一棵桃树。高俊辰本以为就此完蛋，谁知地星坠入一方充满灵气的诸天世界，开始了灵气复苏。紧接着，无限进化系统激活。当天骄崛起，猛兽咆哮，各方大佬降临地星之时。一棵遮天神树却冲天而起，威压一切。树中有一方世界，其内生灵奉其为神明。花蜜能够使万物进化，滋养出诸多神兽。他是“永恒之树”，永恒存在，天地灭而树不灭，日月朽而树不朽。他是“世界之树”，一叶一世界，结果之时，天地为之变色，无数强者为之颤抖。,轻松、系统流、穿越,[武侠]
44,鬼神府,11362,【【武侠•无双征文活动】参赛作品】杀手，以杀人为业，以赚钱为目的。不以是非善恶，论江湖公道正邪，刀光血影，视众生为鱼肉。  天下最神秘的杀手组织——鬼神府，每年都会发出三道鬼神诏令，接到诏令的杀手，会奉命杀掉一位武林高手，以此来争夺杀手榜榜首。   然而，一场灭门惨案，将鬼神府引入复仇之路。杀手之王的首徒，桀骜不驯的花神，此时又重出江湖，是巧合，是陷阱，还是谣言？是福，是祸，还是一场阴谋？,铁血、杀手、强者回归、蜀山,[武侠]
45,鹧鸪饮琼录,10910,【【阅文·中国武侠·侠之精神征文大赛】参赛作品】月儿弯弯照九州，几家欢喜几家愁。光华掩映青玉案，鹧鸪饮琼在枝头。天山派镇山宝剑游龙断玉是否就是白云青冥？于承珠也爱着张丹枫，那么她可有希望？只是云蕾又是怎么死的？是不是跟她有关？难道说她是另一个邓文迪？,淡定、老师、无敌文、蜀山,[武侠]
46,我在武侠世界开餐馆,10414,【【武侠百万大征文】参赛作品】武功再高，也怕菜刀！鲜冬方厨师专业的优秀毕业生徐扬，想在刀光剑影的武侠世界里杀出一条血路，靠厨艺？还是靠菜刀？百花谷大师姐媚眼一抛：刀工不错，我喜欢！飞仙阁小师妹俏脸微红：人家的胃早已被他征服！各位客官，一道与众不同的麻辣江湖，已经新鲜出炉。,轻松、系统流、美食、穿越、成熟、热血,[武侠]
47,武林邪传,10204,试问，什么才是江湖，江湖你懂吗？    这里是武林的起点，这里也是武道的终点                  这里是一个真实的世界                武道是这里唯一追求的目标             想知道什么是真正的江湖吗？这个世界才是武林的真理,坚毅、争霸流,[武侠]
48,剑魔诛天,10124,魔剑初现，少年疯狂执剑问天，天地间的情，爱，恨，过错，冥冥之中是谁所控？,强者回归、玄学,[武侠]
49,剑诛江湖,9834,（新书狮行江湖已发表，还望多多捧场）江湖是什么？它是水，亦能载舟，也能覆舟。要么你就在水上飘飘荡荡，要么你就沉入水底不死不休，船虽然可以靠岸，但是绝不可能离开江湖。江湖就是如此，身在其中，由不得自已，下水容易，上岸难。手持三尺寒剑，诛尽天下群雄！（催更热群545295642）,热血、杀手、争霸流,[武侠]
50,武侠诸天行,9815,旧书摊上买来的一本武侠杂志带着李昂穿越啦！还好旧书能够穿越无数的世界！说好的快意恩仇纵马江湖呢？可是为什么我刚来就被一只狗捡走了，等等，这狗会说人话，还会医术和武功？灵鸽一出七剑待命，你就是雨花剑的传人神医逗逗！李昂“我觉得我走错片场了！这和说好的不一样啊！”“别人都是为了武林正道，凭什么我是为了森林的和谐而战啊！我不干！”蓝兔，“还请少侠相助！”“真香，单身久了连一只兔子都觉得眉清目秀！”从虹七开始的江湖之旅，《虹猫蓝兔七侠传》（未完待续）—《鹿鼎记》（星爷电影版）—《笑傲江湖》（完结）—《天下第一》（完...,轻松、穿越,[武侠]
51,孤星刀客,9476,一场车祸，温玉穿越了，看着自己的小身板，温玉潸然泪下，哀嚎道：“都说穿越的有金手指，我的金手指了，骗子啊，全都是骗人的。”更替兴衰王朝史，血雨腥风江湖路，三代人，恩怨情仇，敢问几时休？  新书《窃天之唯吾独尊》已经开始更新。天下风云出我辈，一入江湖岁月催，皇图霸业谈笑中，不胜人间一场醉。  这是一个魔君成长的故事！,机智、豪门、LOL,[武侠]
52,无恨刀,8888,【【武侠•无双征文活动】参赛作品】人无情，刀无恨；人不见血，刀不收锋！九万里，神州风云起。叹山河破碎，百姓流离。满眼是，烽火连天，虎狼遍地。云波谲，长歌入天阙。荡世间妖氛，心鉴日月。凭几何，三尺寒锋，一腔热血。***************************************书友群：无恨刀 515743429感谢阅文书评团提供书评支持。,铁血、杀手、感情、玄学,[武侠]
53,我在华山刷副本,8472,这是一个世界升级的时代，开挂的主角，还有一群成长中师弟师妹们的故事。    捕捉异常生物，炼化提取特性，旅行诸天万界，见识绝代宗师，横行异度宇宙，殴打正反角色，超越命运之河，把握自我意志。    作者也不知道简介怎么写才好，反正这是一本万界融合诸天旅行懒惰掌门和各种各样的人物的故事，文笔粗陋，作者努力改进中……就酱紫！！        QQ吹水群：797391817    欢迎读者老爷们来吹水！,暂无,[武侠]
54,九品天尊,8206,医药大学高材生穿越异界，本被认为是身患残脉，无法练武的废物，却因祸得福，习得只有残脉之人方可修炼的绝世武学……,励志、重生,[武侠]
55,神洲：鬼谷传人,7750,神龙一现惊天下，半世苦修成浮云。这说的是旷世无双的神器神龙令，非大圆满不可敌！鲲鹏展翅破云霄，无知燕雀妄称鹏！这话从一十岁的黄口小儿口中说出，羞煞天下男儿！雷霆击身亦等闲，单凭只手可遮天。十年后百晓楼称他为狂生、只能为友不能为敌，天下俊杰奉为金科玉律，此人该是何等风范？宁犯圆满，不惹狂生！机变如神，天下无不可坑之人，看他是如何在江湖中拨弄风云，成就千门第一名将！,侠客、智斗、轻松、正能量、谋略、布局流、三观正,[武侠]
1,我的绝美老婆,9899798,“我们结婚吧！”当这一句话从美女总裁口里说出，李尘只感觉头晕目眩！,淡定、杀手、强者回归,[都市]
2,我的绝色美女房客,6880928,这小小的四合院，住着一群租房客，而陈阳则是房东。,学生、强者回归,[都市]
3,校花的贴身高手,6393546,传奇杀手回归都市，奉旨保护校花！我是校花的贴身高手，你们最好离我远一点，不然大小姐又要吃醋了！【鱼宝宝书友1群 333702438（已满），鱼宝宝书友2群 417723151】,嚣张、老师、系统流、赚钱,[都市]
4,终极高手,6010655,【2014Next Idea原创文学大赏参赛作品】左手在世华佗，右手地狱阎罗！为了一个承诺，叶枫龙潜花都，嚣张无双！,铁血、明星、强者回归、赚钱,[都市]
5,都市极品村医,3863625,【热门火书、百万收藏！】李霄莫名沉睡三年未死，偶得透视神眼，从小村民，一路走上人生巅峰，美女、财富、手到擒来！,嚣张、医生、强者回归、玄学,[都市]
6,极品全能高手,3821087,【最火爆畅销书】一场车祸改变了我的平凡人生。各种奇遇接连而来。考试满分，刮刮乐必中，篮球天才，游泳健将选一个？不，老子就是全能。QQ群：203799451【花都出品，必定精品。】,铁血、学生、无敌文、赚钱,[都市]
7,我的极品美女老板娘,3401559,这是一个超级兵王的故事！这是一个超级兵王的故事！,轻松、特种兵、无敌文,[都市]
8,至尊兵王,2524636,新书《至尊特工》，和至尊兵王一脉相传，请支持！-------他是华夏隐龙的天之骄子、放荡不羁惜花护花的龙少，也是敌人心中的终极恶魔、辣手无情屠戮三千的“暴龙”，如今卸甲归来，潜隐花都。在战场他是无敌兵王，令敌人闻风丧胆，在都市，他同样是至尊,热血、特种兵、无敌文、轻松,[都市]
9,他身上有条龙,2418900,谁说纹身的都是流氓？且看因为爱人背叛而投身军旅，三年后从神秘部队退役，拥有真龙纹身的最强王牌回归都市，叱咤风云，无敌天下！,孤儿、阳光、变身,[都市]
10,最强特种保镖,2008414,【2014星创奖第二季参赛作品】他是兵王中的王者！    他是杀手界的死神！    他无限嚣张！    彪悍兵王叶龙，离开神秘部队，重归花都，奉神秘老头之命，保护美女老板娘。,嚣张、特种兵、强者回归、赚钱,[都市]
11,我的极品美女总裁,1998119,一觉醒来，竟然多了个女王范的美女总裁老婆。房子有了，车子有了，老婆也有了。什么，你打我老婆的主意？找死！先吃我一记仙人掌，再挨我一招掌心雷，送你见阎王。小样，看好了，敢动我的女人就是这个下场！（唯一正版QQ读者群：61484923）,爆笑、豪门、系统流、LOL,[都市]
12,都市超级医圣,1951923,财法侣地，修行其实是一项非常耗钱的奢侈运动。无意中得到传说中修道，炼丹，医药学家葛洪的传承，淳朴的山里人葛东旭开始努力赚钱。当大多数人还在读高中时，他为了炼丹修行已经开始一边读书一边赚钱。当大多数人读大学还在为交女朋友的开销发愁时，他已经是一名老板。当大多数人大学毕业在为找工作四处投简历，当富二代开着跑车，在美女面前炫耀时，他已经是一名超级富一代，当然还是一名大隐隐于市的至尊医圣。,铁血、医生、强者回归、鉴宝,[都市]
13,都市超级医仙,1726981,左手惊天医术、右手至强武功，携带百年记忆，重生回归都市，这一世，定要纵横无敌、执掌一切，登临苍穹之巅！,医生、赚钱、无敌流、重生、热血、杀伐果断、强者归来,[都市]
14,来自地狱的男人,1715555,星空魔帝，重生归来！我是魔，以神为奴，以仙为仆！！！,嚣张、杀手、强者回归、赚钱,[都市]
15,三界红包群,1631617,加入三界红包群，改变了我的人生！仙魅妖魔，红包不断！如意猴毛，天庭狗粮，神器仙丹，可爱仙女……都到碗里来！,热血、医生、系统流、西游,[都市]
16,重生之都市神帝,1501424,【2014星创奖第二季参赛作品】世界顶尖杀手叶错，因为被组织出卖而死，重生回学生时代。睁开眼，发现自己站在全校通报批评的讲台上。他当着全校人的面，向暗恋三年却从不敢说出口的校花当众表白！本书读者群：365888892,热血、杀手、无敌文,[都市]
17,都市极品医神,1385889,【火爆爽文】五年前，废物叶辰犹如地上蠕虫般被人耻笑！但是五年后，他带着一百位上古大能回来了！吊打一切，谁与争锋！,热血、医生、强者回归,[都市]
