top,bookname,click,info,label,type
85,布衣青年闯天下,3085,"布衣青年意外获得神奇的能量，不仅可控万物，而且极具吸引力，从此幸运不断、桃花不断、责任不断……
“师父，神界在哪儿？我怎么看不到呢？”
“你能看到电波信号吗？一样的，你的修为不够，是看不到神界的。”
一丝特殊的能量,一次偶然的灾祸。两尊大神的魂魄被吸引到了主角的身边，穿越进了他的脑袋里。
能量被激活，招蜂又引蝶；踏上修炼路，大神来相助；脚踩鬼门关，手托梦幻鼎；大神魂归位，拯救众生灵；揭开能量迷，玩转宇宙星。
本书讲述一个布衣青年心怀梦想、冲破宇宙规则的桎梏、勇闯宇宙各界、终成大神的狗血故事。",热血 穿越,奇幻·玄幻
86,天神下凡,3084,"三样东西会使帝国在一百年内成为至高的伟大王国：《国富论》，《教诲》和紫曜花
——虔诚者奥古斯丁。
他独自从神圣中来。
走向永恒的不朽。

我在QT语音房间【1655】 [小说]烽火戏诸侯?Crazy妖孽｀书迷，大家有空可以一起聊聊
链接地址：http://qt.qq.com/go.html?roomid=1655


公布两个群。
守望者——30141188
作为天神和癞蛤蟆两本书的普通书迷交流群。进群无要求。

",奥古斯丁 黑暗巨头 圣徒 女神,奇幻·玄幻
87,璀璨吧麦尔斯的星空,3049,罗伊莫名重生到一个真神宇宙，因一颗小小的石头，展开了一场轰轰烈烈的传奇！,神话 西幻 重生 异世,奇幻·玄幻
88,盖世帝尊,2993,"经典玄幻巨作《盖世帝尊》
纪元末年，诸王争霸，群魔并起，问道长生。
睡神少年，因祸得福，肉身成圣，弹指遮天，俯览岁月称尊！
谁又能与岁月永恒？

一叶青天微信公众号：搜索：一叶青天",丹药升级 爽文 热血,奇幻·玄幻
89,星海仙冢,2984,遍寻世间双全法，辗转仙凡两枉然。回首此生，我们能做的，无非取舍而已。『全订群：935192132；公众号：羡蜉蝣』,穿越 异世 情感 玄幻现实主义,奇幻·玄幻
90,道印,2872,姜小凡本是一介凡人，意外获得道印残片，同修佛道两家无上古经，神游紫微，纵横银河，无敌星空下，以己身印证无上大道！……VIP订阅群，万龙巢：392547615，欢迎亲们加入！,扮猪吃虎 法宝 暧昧 爽文,奇幻·玄幻
91,天衍乱纪,2814,"大衍之数五十，其用四十有九，故曰天行有常，故曰天道无常。
乱世降临，群雄并起，号称上苍宠儿的三千道子，敢与神争夺神位的撄神者，视瞑即分昼夜的东海大妖，贯穿碧落黄泉的古老巨木，生而天仙的无敌石猴，吐纳乾坤的井底之蛙，洞察大千的观天之镜，遮拢太虚的江山蓝图……
大世辉煌，诸圣争霸，人人都在争当那遁去的“一”。我本为天骄，何须跃龙门？少年苏恒走出苍山，一切从这里开始。",东方玄幻 争霸流 619百更作,奇幻·玄幻
92,星空蕴道,2803,天道长存，天道何喜；蜉蝣一瞬，蜉蝣何悲？问君何必证永生？宇宙如此浩瀚，生我这般渺小？不解！吾生也有涯，而知也无涯？不甘！大道三千，许我一缕？不屑！(七月开始争取一日两更，新开通读者群979648929）,爽文 穿越 异世 争霸,奇幻·玄幻
93,我用阵法补天地,2751,"所谓阵法，不离阴阳，不离天地自然。
布阵者，乃借天地之力御敌。
所布之阵，优以稳胜，劣以险胜。

……
（Ps：本书并无虐心情节，请放心阅读。）
（求点击、求推荐、求收藏，感谢！）",阵法 扮猪吃虎 升级 爽文,奇幻·玄幻
94,大元素使,2693,"【稳定更新，放心收藏~~】
龙门嫖局局长，首届白嫖大法师。
我从来没有见过你这么爱白嫖的人！
不好意思，今天你就见识到了。
专走歪路的元素使，赵某人的传奇之旅，走过路过不要错过，来白嫖啊。",扮猪吃虎 热血 爽文 搞笑,奇幻·玄幻
95,国王万岁,2647,"一个掌握了绝世‘金大腿’的小人物，穿越成为一个小小国王，于是便在这个冰冷残酷的异世界，留下一段另类无敌的热血传说。
新书《刀剑神皇》http://book.zongheng.com/book/262883.html



",热血 暗黑破坏神 升级 扮猪吃虎,奇幻·玄幻
96,序列之王,2440,"三百年前世界被异族攻陷，人类按下毁灭按钮……
三百年后世界突变，新生的人类变得空前强大，他们建立起新的职业序列，武者，战士，炼药师，秘术师，各职业百花齐放，争相斗艳！但有一个几乎被他们遗忘的职业，却凌驾于所有职业序列之上——古武者。
且看陆小天，一个背负家族使命，身怀古武的阳光少年，如何在这新生的世界里步步为王！",热血 升级 玄幻,奇幻·玄幻
97,天降鬼才,2438,我不会奇门遁甲，也不懂风水八卦，但江湖人都称我绝世鬼才。为什么？因为我脑子有坑！装满来至新世纪的现代学识！讲道理，其实我是个很纯洁的斯文人，不管你们信不信，反正我是信了。（书群296667811）,轻小说,奇幻·玄幻
98,不灭狂尊,2431,"何为王道？对手不乖，便从他的身上碾过去！
何为霸道？就算乖的，也碾过去！
何为天道？任何时候想碾谁就碾谁！
绝世天才逍遥圣人破碎虚空进入圣域却因意外身殒，重生在青云大陆一个名叫李逸晨的少年身上，挟圣域功诀、持前世经验，王道、霸道、天道皆为我道……群100176781",异世 丹药升级 重生 爽文,奇幻·玄幻
99,九婴神决,2361,一指星球爆，一剑苍天灭，唯我无敌。何为神，何为魔！有仇必报，终会归来。且看一代神尊如何走上复仇之路！,位面,奇幻·玄幻
100,魔域,2357,"一朝英雄拔剑起，又是苍生十年劫。但那世间最风流的繁华，却又怎么抵得上你眉间一点朱砂。魔域的公众微信：魔域书娘。
　　",升级 穿越 爽文,奇幻·玄幻
1,我只有两千五百岁,299410,"一名大学生，竟然已经逆天活了两千五百年，最后一次重修的苏烨决定好好享受大学生生活，但奈何才华横溢，走哪都是高光！唉，这就是入世后的人生！【公众号：作者步行天下】
",热血 爽文 搞笑 生活,都市·娱乐
2,最强狂兵,233595,一代兵王含恨离开部队，销声匿迹几年后，逆天强者强势回归都市，再度掀起血雨腥风！简单粗暴是我的行事艺术，不服就干是我的生活态度！看顶级狂少如何纵横都市，书写属于他的天王传奇！依旧极爽极热血！（微信公众平台：烈焰滔滔）,扮猪吃虎 热血 爽文 称霸都市,都市·娱乐
3,开局兑换个天眼通,163630,"虽有娇妻相伴，却是绝版渣男。
一朝浪子回头，造就绝世好人！
咦！
做了好事就是功德，竟然能兑换一切？
好吧，先兑换个天眼通，看看覆手的公众号：fushou123456789(听说有精彩剧透)",热血 重生 生活 养成,都市·娱乐
4,赘婿出山,114783,"山村赘婿李子安偶得西周方士传承，大惰随身炉傍身，医、卜、星、相样样精通，要风得龙卷，要雨发大水。软饭也是饭，但得讲究个吃法。李子安吃软饭，那姿势讲究可就大了。
",热血 爽文 轻小说 生活,都市·娱乐
5,重生之我的1992,71907,"重生1992，拯救父母，找回爱人，回到那个遍地机遇的年代
书友群 124377554 
验证口令：1992小说书友",重生 穿越 生活 爽文,都市·娱乐
6,我真的两千岁,58480,"沉睡70年后，再次醒来的陈岩发现这个世界已然大不同，而他所求的，是打破桎梏，寻找永生的途径。
摆在他面前的只有两条路可以选择，是突破修为境界，还是破译自己长达两千年生命的奥秘。
但这两条路，注定无法平坦下去.....",技术流 扮猪吃虎 英雄无敌 爽文,都市·娱乐
7,差一步苟到最后,48332,一栋栋大楼轰然倒塌，一座座城市灰飞烟灭，人类苟在夹缝间瑟瑟发抖。只有赵官仁站出来说，苟而不动必死无疑，苟的好一身灰，苟不好一盒灰。苟者！诡道也……,热血 爽文 升级 末世,都市·娱乐
8,天才医生,42220,"掌握亿万家财、无上权力又如何？
我，能够掌握你的生命。
一个小医生弘扬中医的励志故事！

大家要记得注册收藏哦，在书评区留下你性感美丽的脚印！！！
我在QT语音房间【9266】 柳下挥官方QT，大家有空可以一起聊聊
链接地址http://qt.qq.com/go.html?roomid=9266",柳下挥 都市 医生 秦洛,都市·娱乐
9,老子是癞蛤蟆,32156,"国士。
国士无双，一骑绝尘。
红顶。 
那一年，风雪漫京城，我一鸣惊人。

红袍守望者书迷群：群号112773223   
我在QT语音房间【1655】 [小说]烽火戏诸侯?Crazy妖孽｀书迷， 大家有空可以一起聊聊
链接地址：http://qt.qq.com/go.html?roomid=1655    ",赵甲第 大后宫 癞蛤蟆吃天鹅肉 书迷YY：1655,都市·娱乐
10,神豪的投资生活,28884,"当久神获得神豪投资系统，一次次的骚操作后，才明白什么是有格调的撩妹、有责任的投资、有品味的生活。
人工智能、能源转换技术、国产神车、机器人工厂……如何让黑科技更合理的成为自己赚钱的利器，久绅伤了不少脑细胞。",爽文 生活 搞笑,都市·娱乐
11,全音阶狂潮,26564,凭借超凡音乐天赋，杨景行奋勇前行，从一个平凡学生成长为一代宗师，一路上留下的故事和传奇，有慷慨热血，有隐忍以行；有温暖动人，有冷血无情；有金钱名利，有梅兰竹菊；更有繁花似锦！,音乐 姑娘,都市·娱乐
12,私密关系,25547,老婆安语早上穿着黑色丝袜出门，晚上下班回家却没有穿丝袜，膝盖上还有青色印记，陈伟疑心顿起，开始偷偷跟踪安语，却发现......,暧昧 出轨 婚姻 情感,都市·娱乐
13,龙门战神,21903,"天之大，龙之傲者，沧海横飞……
用特异功能在都市装逼，是种什么体验？",爽文 热血 争霸 扮猪吃虎,都市·娱乐
14,都市古仙医,20542,"大三学生叶不凡，碰瓷给母亲筹集医药费，却遇到不按套路出牌的女司机，被撞后获得古医门传承，从此通医术、修功法、玩转都市，赢得无数美女青睐。
（ QQ书友群：854302596 ,欢迎参加讨论。）",爽文 升级 搞笑 法宝,都市·娱乐
15,非洲酋长,16746,神秘混乱的西非国度，家道遇变的倔强少年，毅然出走的新婚少妇，居心叵测的险恶人心……【书友ＱＱ群：628735469，微信公众号：gengsu1979】,热血 生活 养成 种田,都市·娱乐
16,都市极品医神,16130,上一世，孟川为了女友当牛做马，结果却被像垃圾一样丢弃；这一世，孟川得到祖上妖道医圣传承，又有一只橘猫护道，从此纵横都市，吊打一切，无所不能！,爽文 装逼 打脸 萌宠,都市·娱乐
17,绝品仙婿,16092,众人眼中的废物，因为优秀品行而被路过的仙尊选为传人，自此开始了逆天人生，随手炼制的丹药能救死扶伤，修仙的体魄随便吊打凡间的武道高手，抬脚一踏，便是世界巅峰。,爽文 扮猪吃虎 丹药升级,都市·娱乐
18,被逼成仙,15118,"你，豪门阔少；
我，寒门屌丝。
你，玩弄了我老婆；
我，竟然得到了你未婚妻……

        这是一个凡人，遭遇背叛之后，重获新生的故事。其中又有牵扯出末世危机和千年秘辛，以及剪不断，理还乱的情感纠葛。最后，压力之下，走上成仙之路。
　　",东方玄幻 爽文 都市修仙,都市·娱乐
19,妙医鸿途,14860,年轻的中医苏韬，在接管祖传的医馆后，遇到了各种各样的病人，因而发生一个个妙趣横生的故事。起初只是想要守护身边的人，随后无法自拔地踏入世事洪流，小中医不得不运筹帷幄、野心勃勃地开始运营一座中医之城。惊才绝艳的人生鸿途徐徐展开画卷……欢迎关注微信公众号：烟斗老哥或者搜索ydlg1985。,热血 爽文 生活 搞笑,都市·娱乐
20,医品宗师,13804,"他是武林中最年轻的武学宗师，拥有神秘的绝对手感，可他现在却是一名普通的中医大学的大一新生，本想低调的学学医，看看病，恋恋爱，可在一次中秋晚会被迫表演中震惊了全场，注定闪耀的美好大学生活从此开始了【欢迎关注小步的微信公众号：bxtx521,或者直接搜索“作者步行天下”添加，会有相关番外和剧情介绍）友群：121883239",高校 宗师 神医 爽文,都市·娱乐
21,诸神基金会,13607,"【神灵信仰情况调查及形式分析研究】
【传统节日宣传对信仰之力提升效果研究】...
“你们...哈哈！神仙怎么也搞科研了！哟哟，三界学术委员会，还有基金项目...我滴乖乖，难不成神仙界又被猴子占领了！”
......",热血 爽文 生活,都市·娱乐
22,点道为止,13458,"功夫究竟是什么？

花架子还是杀人技？

三千年冷兵器战争和无数民间私斗酝酿出来的把式，究竟是不是骗局？

国术流开创者，功夫小说第一人梦入神机，在本书中为您揭秘。

止戈为武，点到为止。

“你若无敌，将会如何？”

“得饶人处且饶人。”",热血 爽文,都市·娱乐
23,超级龙婿,13362,热血谱史诗，霸者留传奇！陈岳作为豪门李家的上门女婿，在危难之际得到了来自平行世界的另一个陈岳留下的惊天遗产，从此开启了逆袭人生。他改变了地球现状，让华族提前实现民族复兴。他把华族带进宇宙星海，让华族文明成长为顶尖的宇宙级文明。世间美好尽归于他，他的真名代表荣耀！（已完300万字《末日霸权》）,热血 爽文 升级 争霸,都市·娱乐
24,都市奇门相师,13229,"（Q群:511989081）
奇门者，通古知今，有鬼神莫测之能也！
且看意外获得太衍圣宗传承的穷小子苏哲，如何依靠奇术术法，演绎出一段传奇之旅！
（每天固定凌晨0点，中午十二点更新。偶尔不定时加更！）",扮猪吃虎 现代修真 爽文 美女,都市·娱乐
25,老实人逆袭2003,13068,"抠脚大汉宿醉街头，梦回高考前夕，归来依旧少年！
　　这一年，少年情窦初开，不敢向暗恋三年的校花表白！
　　这一年，传世还没公测，兄弟热血未凉，屠龙梦还没实现！
　　这一年，少年仰天长啸，我命由我不由天！
　　喝最烈的酒，泡最美的妞，溜最凶的狗，杀最狠的人，装最牛的逼！",搞笑 扮猪吃虎 爽文 热血,都市·娱乐
26,大国名厨,13025,身怀御厨传承，为偿父债，被迫入赘陶家，面对高冷妻子的轻视，外国餐饮的打压，乔智潜龙一飞冲天起，成为华夏顶级名厨，餐饮大鳄！书友群号：493181579。微信公众号：烟斗老哥。,热血 爽文 生活 搞笑,都市·娱乐
27,终极教师,12849,"　　方炎原是太极世家传人，因为不堪忍受一个野蛮女人的暴力欺负而翘家逃跑，弃武从文成为一所私立学校的高中语文老师。于是，一个传奇教师就此诞生！
终极教师量身订制的手游《终极酷跑》上线啦，
欢迎下载：http://download.gyyx.cn/Default.ashx?typeid=978&netType=1",热血 爽文 搞笑 扮猪吃虎,都市·娱乐
28,超品神瞳,12601,"父亲失踪，幼妹又要读书，夏雷含泪撕掉了大学录取通知书去工地打工。处在社会最低层的他活得不如一条狗。五年后，一次工地事故让他的左眼获得了超能力，透视、过目不忘、超远视距。从此锦绣前程，美人多娇，他成为时代的主角！
新书《赘婿出山》已肥，请书友们支持一下，谢谢！",热血 爽文 青春 奋斗,都市·娱乐
29,绝命毒尸,12283,"阻挡末日是我的信念，温暖她们是我的责任，我就是夏不二，末日的阻挡者……
（新书《差一步苟到最后》已经开更，直接点击作者名就能看到，关注公众号“十阶浮屠”，可免费领取末城全本！）",生化 刁民 末日 夏不二,都市·娱乐
30,都市之绝品老公,11996,"薛天艾带着婚约重新回到都市，作为昔日令人闻风丧胆的杀手之神，他又能翻起怎样的惊涛骇浪呢。

警花，校花，歌星，总裁老婆......仿佛回到都市更加幸福了呢？

“真是的，要我强调多少遍的吗....我有老婆了啊！什么？你不在意，你不在意我在意啊？”

（本人QQ 3060812974  有什么建议，龙套之类的想法可以QQ联系我）",爽文 热血 都市 扮猪吃虎,都市·娱乐
31,末日刁民,11788,"当末日席卷而至，资深屌丝陈光大却贼眉鼠眼的露出了脑袋！究竟该带谁走，这真的是个问题……
（新书《差一步苟到最后》开更了，直接搜书名即可阅读！）",活尸 丧尸 陈光大 末世,都市·娱乐
32,宝藏猎人,10926,"历史的夹页中，隐藏着太多的秘密。
我叫江宪，我用双脚丈量传说，记录下了这段如同传说般的旅程。
从天坑中的地下迷宫，到无根树下的母猪龙传说，再到大上清宫下的影子窖……他们叫我：宝藏猎人
Q群：71273563",寻宝 探险 解密,都市·娱乐
33,猎户出山,10206,一介山民，山中猎虎猎豹，下山猎功猎名；一步入红尘，步步皆擂台，山里道理黑白分明，山外人心难分黑白。何为梦想，顾径苍翠，做梦又何曾想到；何为目标，蓦然回首，早已是万人仰望的目标。书友群：168683435,励志 逆袭 刁民 现实,都市·娱乐
34,最强逆袭,9905,一个男人，从普通人到一代枭雄，需要经历多少，付出多少？站在黄浦江边，望着这座繁华而又浮躁的城市，秦升眯着眼睛低声道“总有一天，这座城市会记住我很多年…”不甘平庸，最强逆袭(微信公众号:关中老人/读者群：228106218）,逆袭 爽文 扮猪吃虎 美女,都市·娱乐
35,匠心,9655,一屋不修，何以修天下？,爽文 种田 技术流 生活,都市·娱乐
36,我真是太阴险了,9508,"有人回到过去当神豪，有人回到过去当君王，宁峰回到过去......世界变了。异兽入侵，魂师林立，宁峰在这个凶险危机的世界，稳定发育，暗中杀敌，一代幕后黑手悄然崛起。
关注微信公众号：单王张，后续会发人物插图，番外故事。",都市爽文 扮猪吃虎 搞笑 幕后黑手,都市·娱乐
37,神级奶爸,9030,修仙归来成奶爸，建山头，开餐厅，写写歌，泡泡孩她妈......且看修仙奶爸如何玩转都市。 ps：关注微信公众号：单王张   ps：正版读者微信群：加微信1334725041验证入群（积分5000以上）。普通读者Q群：162099227。ps2：已有完本老书《都市最强修仙》，放心入坑。,修仙 奶爸 美食 文艺,都市·娱乐
38,超级学霸系统,8930,"身患绝症脑瘤的少年陈羽获得学霸系统，从此逆天改命，强势崛起，开启他彪悍的学霸人生！
“陈同学，考到大夏国史上唯一的满分，你此刻是什么感受？”
“……”
“陈教授，当你得知自己获得诺贝尔物理学奖的时候，你的心情是如何的？”
……",爽文 生活 搞笑 轻小说,都市·娱乐
39,都市打脸狂人,8873,"孤儿叶康自幼生活在回龙山小山村，十四岁上山采药迷路，误入秘境之中，遇到龙遮天、狐千媚两位死对头，传授功法，修炼数年，因两人期限已到，只能让叶康回归都市。回归后的叶康，奇遇不断，美女金钱，唾手可得，富商奸商被啪啪打脸。
     拍卖会屡遇奇宝，投建药厂，制出数种特效药。覆灭国际杀手组织，入岛国救美女，获得钱财无数。携美进入修真界，历经千险，进入龙族遗迹。最终飞升仙界！",嚣张冷酷赚钱,都市·娱乐
40,贱道长存,8478,"【尊贵书友群：655745458】
远看软柿子，近看软柿子，啃上一口……草！大理石的！
我叫柳江！江湖人送外号贱圣，凭自己编的破系统坑遍天下，偶尔还坑坑自己。",搞笑 扮猪吃虎 爽文 系统,都市·娱乐
41,华娱之黄金年代,7552,1984年的春天，一个厨子走进了红楼梦演员培训班，从此开启了一段传奇经历,爽文 重生 搞笑,都市·娱乐
42,逆鳞,7235,"     天生废材，遭遇龙神附体。继承了神龙的意念和能力，生鳞幻爪、御水龙息、行云降雨，肉身无敌。
    在这个人人都想屠龙的时代，李牧羊一直生活的很有压力。",搞笑 扮猪吃虎 热血 爽文,都市·娱乐
43,妙手神农,7188,古老的东方，生活着龙的传人，千万年来，龙的传人坚信龙的存在，我们一起期待，获得龙珠的余飞，如何从小农民起步，阅尽天下美女，拳打装逼犯，脚蹬二世祖，玩转世界各国，让我泱泱中华腾飞而起，屹立于世界之巅，壮哉我中华之龙！,热血 爽文 扮猪吃虎 搞笑,都市·娱乐
44,道爷不好惹,6986,"西有昆仑，昆仑山瀚海八百里，八百里瀚海无人烟，连绵不绝。
玉虚峰上昆仑观弟子世代镇守着这片土地上的二十四条龙脉，通读道藏三千三，可铁口直断，能降妖，驱邪，走阴阳通风水。",热血 爽文 无线 盗墓,都市·娱乐
45,门马,6844,"在现代社会蹉跎半生的丁闯意外穿越回到了2000年，此时父母还健在，自己的家乡依旧贫穷落后，重活一世的他决心改变这一切。
先成为父母骄傲，再带动家乡脱贫致富，闲来无事还可以培养几个潜力股叱咤商界，再拍卖个午餐时间给行业牛人指点迷津。
他站在风口浪尖，抓住了好时代所带来的每个机遇，他是时代先锋，是未来的弄潮儿。
书友群：474558375，欢迎读者加入！作品又名：重返2000",都市 重返2000 重返1988 下山虎,都市·娱乐
46,重生之游戏大亨,6779,重生回到九八年，那些消逝在时光中的遗憾，通通可以弥补了。,重生,都市·娱乐
47,我要做阎罗,6718,"“大人，不好了！沿江三省灵异爆发！申请支援！”
“什么？我得赶紧躲起来……”
“……大人，您身为阎罗难道不想振奋一下军心来个视察吗？”
“视察哪里有小命重要！”
阎罗叫我来巡山，我到人间转一转
………………
V群，71273563，微信公众号：eyeguaike1",搞笑 升级,都市·娱乐
48,国医无双,6504,"医仙陈步重生都市，可与阎王夺命，可与天下争锋。

　　生活很简单，赚赚钱，泡泡妞，踩踩人，不过如此。

　　“我不过是将我走过的路，再走一遍！”——陈步
读者群：424110920  二群：316092088
作者公众号：作者步履无声",爽文 热血 搞笑 扮猪吃虎,都市·娱乐
49,风云龙婿,5978,"三年蛰伏，一朝归来，他依然是王者，曾经失去的，统统都要拿回来，他是战神，他是情痴，他是西方世界的禁忌般的存在！
《风云龙婿》粉丝群群号15601227，欢迎申请入群！",热血 爽文 升级 重生,都市·娱乐
50,九零之完美人生,5922,"谁的人生没有遗憾？谁没有一些旧恨心魔？
如果能够重活一回，那错过的机会可以把握，错过的人也能好好的珍惜，作为万中无一的幸运儿，钱洪就意外的重生回到了1990年，然后就很爽了。
股票认购证？买！
互联网企业？投！
国退民进？收！
比特币？挖！
至于房子跟商铺哥哥早就没数了。
更关键的是，钱洪还打算利用他的钱，尽可能去帮助更多的人……",爽文 重生 搞笑 种田,都市·娱乐
51,重生之商界大亨,5860,重生回到87年，利用重生优势轻轻松松日进斗金，建立乡镇工业园，征服豪门公主，在金融市场里翻云覆雨，我就是呼风唤雨的世界豪门！（企鹅群： 126094629）,赚钱 技术流 热血 爽文,都市·娱乐
52,都市邪王,5751,"他不断破坏着这个世界的潜规则，却一直认为自己是个正直向上的大好青年。
他被无数上流社会的家伙恨之入骨，却能够在民众心中拥有至高无上的地位。
身负血海深仇，腹黑的顶尖特种兵回归都市，极爽极热血！

精彩章节尽在《都市邪王》！求订阅！",爽文 热血 扮猪吃虎,都市·娱乐
53,鉴宝从文物修复开始,5404,"一场意外，让赵御觉醒了掌中神目。掌中神目，回溯过往，不论是任何古玩，在他的手中都能看出真假。
哪怕是已经碎裂的古玩，在他的手上也能恢复如初。赌石捡漏，文物修复……且看赵御一步步走上人生巅峰。
“美女你别来啊，我能修文物，修不了你啊！”",鉴宝 爽文 生活,都市·娱乐
54,市井之徒,5186,"人，一撇一捺，就像两条腿，撑着一截正直的脊梁，撑着一颗向上的头颅，昂然挺立于天地间。
而生活，是尝遍柴米油盐的平淡，是笑对酸甜苦辣的平凡。
生而为人，生下来，活下去，永不停息。
（书友群474558375，欢迎加入！）",热血 爽文 生活 下山虎,都市·娱乐
55,万界大佬都是我徒弟,5152,"洛长天穿越平行世界，得到万界师尊系统，每隔三十天可收一个大佬为徒。
第一个徒弟，全球首富，收徒同时获得无数资产！
第二个徒弟，武道宗师，收徒同时获得最强武力！
第三个徒弟，超级神医，收徒同时获得逆天医术！
第四个徒弟……
每收一个徒弟，就会多出一层身份，多出一种能力！
顶尖杀手、回归战神、神秘相师、一代神皇、无敌圣王……诸天万界各种大佬，有一个算一个，全都要成为我洛长天的徒弟！",爽文 穿越 搞笑 热血,都市·娱乐
56,天工,5054,"顶尖文物修复师苏进，重生在了一个新的世界。
故宫变成了古玩街，乐山大佛垮了一半，敦煌壁画被风沙侵蚀，莫高窟变成了无头窟。
文物破损，修复技术流失。
人们需要历史，人们没有历史。
……
……
苏进，是为改变这个世界而来的。",穿越 技术流 爽文,都市·娱乐
57,重生从股市开始,4878,"一朝重生2015，面对即将到来的股市大潮（股灾），手里只有53万流动资金的马啸天丝毫不慌。
开局玩转股市，随后共享领域创业突围，紧跟电动汽车弯道超车；
在这个全球经济集团基本定型的时代，且看马啸天如何将资本运作达到巅峰，演绎完美人生！",重生 爽文 生活 穿越,都市·娱乐
58,我真不是大人物,4605,"末日之劫，万族之主！
满天星河不止是黑暗森林，还是文明的圈养场，与其生如蝼蚁，不如逆转万法。
我是……大人物？？还真不是，其实……",热血 爽文 末世 搞笑,都市·娱乐
59,潜龙在都,4356,"一次意外，苏阳浑浑噩噩过了三年。
她的出现，让他看见一丝活下去的希望。
从此，潜龙入都，企业、财团、世家.....阻拦他的，统统都被他踩到脚下！",热血 爽文 生活,都市·娱乐
60,火爆天王,4298,"    狱中走出来的妖孽少年，代替自己病重的妹妹加入一个偶像组合。
    于是，娱乐圈的火爆天王就此诞生。

     背负‘天王’身份的大学生游走在菁菁校园，又将发生怎样有趣的故事？",热血 爽文 扮猪吃虎 搞笑,都市·娱乐
61,绝品小神医,4251,"新书发布《风云龙婿》传送门：http://book.zongheng.com/book/1063129.html
搜索书号1063129
本日保底三更，不定时爆发，更新稳定，希望新老书友多多收藏评论，谢谢。",养成 搞笑 生活 升级,都市·娱乐
62,都市超科幻三国,4010,"机甲系吕布，开炮系赵云，肌肉系典韦。
这个世界很异能，主角只有一个小愿望:
三国如此多娇，我愿独享此妙！",穿越 扮猪吃虎 爽文 校花,都市·娱乐
63,极品赘婿,3981,重生之后，居然有了一个有钱的老丈人，最关键的是有了一个美貌如花的老婆，乖乖，我可不是废物，你就看你亲老公的本事吧……,热血 爽文 生活 搞笑,都市·娱乐
64,极品神眼,3833,"【赤焰盟出品】
醒掌天下权，醉卧美人膝，乃是每一个男人的终极目标。
一个普通青年，从一个老骗子的手中得一奇异玉佩，令人惊奇的是，借助玉佩，他的双眼竟然拥有了透视的能力，且看他如何玩转都市，笑傲人生。
关注微信公众号：赤焰圣歌！书友群：67398649",爽文 暧昧 快节奏 无线向,都市·娱乐
65,都市神级高手,3740,神医强者纵横都市，聚千金、敛金银、治百病、行天道、踩恶少，谱写九世传奇爱恨人生，他的人生格言是：机遇只偏爱有准备的人！读者请入QQ群：548321732,爽文 生活 热血 重生,都市·娱乐
66,天师下山,3694,青云峰上隐修二十年的小道士张帆，这天带着五六封婚书下山了……,相师 风水 爽文 热血,都市·娱乐
67,刁民的崛起,3692,一位姓陈名厚德的年轻人，怀揣着全村希望踏入申城这座藏风聚水，虎踞龙盘之地。申城埋葬了多少英魂？崛起了多少英豪？小人物的崛起之路！书友群：680561613,爽文 热血 生活 争霸,都市·娱乐
68,医等狂兵,3676,"他曾是华夏利刃，兵界中的王中之王，天剑成员！
他还是在西方地下世界开创地府，让人闻风丧胆的东方阎王！
他说：“我叫刘风，姓刘的刘、风流的风。我最擅长两件事，一是杀人、二是救人。我要救的人，鬼差都带不走；我要杀的人，上天都救不活。”
（微信公众号：直接搜“覆手”二字就能找到！）",搞笑 爽文 热血 刘风,都市·娱乐
69,重生之低调大亨,3662,"（新书大俗人已发表，希望大家能支持一下！）
若重生当如何？过着平凡生活的楚乾坤意外重生，回到了2004年，凭借十几年的先知，开启了他低调奢华的人生，隐居幕后，开创伟业。
( 书友QQ群：519512873）",穿越 重生 生活 财富,都市·娱乐
70,老婆大人请进化,3615,"你曾穿越，我栖息的空间，进化成，我喜爱的模样。
最遥远的未来，是我们相遇的终点。
爱的湖畔，文静雅致，绿柳如烟。
我细数着岁月，等待，你的出现。",爽文 穿越 生活 搞笑,都市·娱乐
71,超级医生在都市,3542,自幼被一个神秘老头当成超级医生培养的孤儿叶修，为了躲避神秘势力的追杀，积蓄力量复仇，回到华夏国，进入燕京城郊区一个小医院成为了一个普通医生，想要低调平静地过日子，却接连遇到各式美女，令到生活陷入一个又一个艳遇和艳遇带来的漩涡之中……,爽文 热血 升级 生活,都市·娱乐
72,都市之逍遥医仙,3529,"陆子风被人扔进深山，却偶得仙宫传承，成为仙宫宫主。  
仙宫内，有无数丹药，功法，阵法……
自此，陆子风开启了自己在都市的彪悍人生！
公众号：hzj2318874045（旧桥新桥），里面会有一些其他的故事或者番外",热血 爽文 法宝 扮猪吃虎,都市·娱乐
73,最强妖孽,3411,新书：我要做阎罗，已经发布！！,热血 爽文 争霸,都市·娱乐
74,超品战兵,3379,"萧兵原本是雇佣界的王者，却为了红颜知己而回归平凡都市，他一切从头开始，扮猪吃虎，逆流而上，脚底踩尸骨，怀搂美人腰，铸就王途霸业！
 1.已完结老书《医道生香》  2.微信公众号：梁不凡",热血 爽文 争霸 扮猪吃虎,都市·娱乐
